title,studio,domestic_gross,foreign_gross,year,total_gross
Toy Story 3,BV,415000000.0,652000000.0,2010,1067000000.0
Alice in Wonderland (2010),BV,334200000.0,691300000.0,2010,1025500000.0
Harry Potter and the Deathly Hallows Part 1,WB,296000000.0,664300000.0,2010,960300000.0
Inception,WB,292600000.0,535700000.0,2010,828300000.0
Shrek Forever After,P/DW,238700000.0,513900000.0,2010,752600000.0
The Twilight Saga: Eclipse,Sum.,300500000.0,398000000.0,2010,698500000.0
Iron Man 2,Par.,312400000.0,311500000.0,2010,623900000.0
Tangled,BV,200800000.0,391000000.0,2010,591800000.0
Despicable Me,Uni.,251500000.0,291600000.0,2010,543100000.0
How to Train Your Dragon,P/DW,217600000.0,277300000.0,2010,494900000.0
Clash of the Titans (2010),WB,163200000.0,330000000.0,2010,493200000.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000.0,2010,415700000.0
The King's Speech,Wein.,135500000.0,275400000.0,2010,410900000.0
Tron Legacy,BV,172100000.0,228000000.0,2010,400100000.0
The Karate Kid,SPC,176600000.0,182500000.0,2010,359100000.0
Prince of Persia: The Sands of Time,BV,90800000.0,245600000.0,2010,336400000.0
Black Swan,Fox,107000000.0,222400000.0,2010,329400000.0
Megamind,P/DW,148400000.0,173500000.0,2010,321900000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,321700000.0
The Last Airbender,Par.,131800000.0,187900000.0,2010,319700000.0
Little Fockers,Uni.,148400000.0,162200000.0,2010,310600000.0
Resident Evil: Afterlife,SGem,60100000.0,240100000.0,2010,300200000.0
Shutter Island,Par.,128000000.0,166800000.0,2010,294800000.0
Salt,SPC,118300000.0,175200000.0,2010,293500000.0
Sex and the City 2,WB,95300000.0,193000000.0,2010,288300000.0
The Tourist,SPC,67600000.0,210700000.0,2010,278300000.0
The Expendables,LGF,103100000.0,171400000.0,2010,274500000.0
Grown Ups,SPC,162000000.0,109400000.0,2010,271400000.0
Knight & Day,Fox,76400000.0,185500000.0,2010,261900000.0
True Grit,Par.,171200000.0,81000000.0,2010,252200000.0
Gulliver's Travels,Fox,42800000.0,194600000.0,2010,237400000.0
Percy Jackson & The Olympians: The Lightning Thief,Fox,88800000.0,137700000.0,2010,226500000.0
The Social Network,SPC,97000000.0,128000000.0,2010,225000000.0
Valentine's Day,WB,110500000.0,106000000.0,2010,216500000.0
The Sorcerer's Apprentice,BV,63200000.0,152100000.0,2010,215300000.0
Due Date,WB,100500000.0,111200000.0,2010,211700000.0
Eat Pray Love,SPC,80600000.0,124000000.0,2010,204600000.0
Yogi Bear,WB,100200000.0,101300000.0,2010,201500000.0
Red,Sum.,90400000.0,108600000.0,2010,199000000.0
Paranormal Activity 2,Par.,84800000.0,92800000.0,2010,177600000.0
The A-Team,Fox,77200000.0,100000000.0,2010,177200000.0
Jackass 3-D,Par.,117200000.0,54500000.0,2010,171700000.0
The Other Guys,SPC,119200000.0,51200000.0,2010,170400000.0
Unstoppable,Fox,81600000.0,86200000.0,2010,167800000.0
Step Up 3-D,BV,42400000.0,116900000.0,2010,159300000.0
The Book of Eli,WB,94800000.0,62300000.0,2010,157100000.0
The Town,WB,92200000.0,61800000.0,2010,154000000.0
Date Night,Fox,98700000.0,53600000.0,2010,152300000.0
Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000.0,2010,140100000.0
The Wolfman,Uni.,62000000.0,77800000.0,2010,139800000.0
The Bounty Hunter,SPC,67099999.0,69300000.0,2010,136399999.0
Saw 3D,LGF,45700000.0,90400000.0,2010,136100000.0
Wall Street: Money Never Sleeps,Fox,52500000.0,82300000.0,2010,134800000.0
The Fighter,Par.,93600000.0,35600000.0,2010,129200000.0
Predators,Fox,52000000.0,75200000.0,2010,127200000.0
A Nightmare on Elm Street (2010),WB,63100000.0,52600000.0,2010,115700000.0
Dear John,SGem,80000000.0,35000000.0,2010,115000000.0
Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,68900000.0,2010,112500000.0
Tooth Fairy,Fox,60000000.0,52400000.0,2010,112400000.0
Life as We Know It,WB,53400000.0,52300000.0,2010,105700000.0
Hereafter,WB,32700000.0,72500000.0,2010,105200000.0
The Girl with the Dragon Tattoo,MBox,10100000.0,94300000.0,2010,104400000.0
Love and Other Drugs,Fox,32400000.0,70500000.0,2010,102900000.0
Aftershock (Tangshan Dadizhen),CL,63000.0,100200000.0,2010,100263000.0
Killers,LGF,47100000.0,51100000.0,2010,98200000.0
Kick-Ass,LGF,48100000.0,48100000.0,2010,96200000.0
Green Zone,Uni.,35100000.0,59800000.0,2010,94900000.0
Nanny McPhee Returns,Uni.,29000000.0,64200000.0,2010,93200000.0
Get Him to the Greek,Uni.,61000000.0,30300000.0,2010,91300000.0
Burlesque,SGem,39400000.0,50100000.0,2010,89500000.0
The Last Song,BV,63000000.0,26100000.0,2010,89100000.0
Dinner for Schmucks,P/DW,73000000.0,13800000.0,2010,86800000.0
Marmaduke,Fox,33600000.0,50100000.0,2010,83700000.0
Piranha 3D,W/Dim.,25000000.0,58200000.0,2010,83200000.0
Oceans,BV,19400000.0,63200000.0,2010,82600000.0
Edge of Darkness,WB,43300000.0,37800000.0,2010,81100000.0
Vampires Suck,Fox,36700000.0,43900000.0,2010,80600000.0
Letters to Juliet,Sum.,53000000.0,26100000.0,2010,79100000.0
