,id_x,synopsis,movie_rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio,review,review_rating,fresh,critic,top_critic,publisher,date,Unnamed: 0,id_y,release_date,movie,production_budget,domestic_gross,worldwide_gross,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,roi
0,14,"""Love Ranch"" is a bittersweet love story that turns explosive when the players in a romantic triangle lose control and cross the line. Set in the late-1970s, the film depicts larger than life personalities living on the edge, Grace Bontempo and Charlie Bontempo, the husband and wife team who own and run Nevada's first legalized brothel. Their lives are suddenly altered when Armando Bruza, a husky, world famous heavy weight boxer from South America is brought to the Ranch to train as part of Charlie's ever-expanding entrepreneurial empire. Plans quickly go awry when Bruza comes between Grace and Charlie as an unforeseen love triangle develops that erupts into uncontrollable passion and murder.",R,Drama,Taylor Hackford,Mark Jacobson,2010-06-30,"Nov 9, 2010",$,134904,117.0,,A captivating film... [Full review in Spanish],0.6,fresh,Laura Hiros,0,,"March 22, 2018",1210,19,2010-06-30,Love Ranch,25000000,137885,146149,tt1125929,Love Ranch,Love Ranch,2010,117.0,"['Biography', 'Comedy', 'Drama']",5.6,2742,0.00584596
1,95,"BLEED FOR THIS is the incredible true story of one of the most inspiring and unlikely comebacks in sports history. Miles Teller (Whiplash, Divergent) stars as Vinny ""The Pazmanian Devil"" Pazienza, a local Providence boxer who shot to stardom after winning two world title fights. After a near-fatal car accident leaves Vinny with a broken neck, he is told he may never walk again. Against all odds and doctor's orders, renowned trainer Kevin Rooney (Aaron Eckhart) agrees to help Vinny return to the ring just a year after the accident for what could be the last fight of his life.",R,Drama|Sports and Fitness,Ben Younger,Ben Younger,2016-11-18,"Feb 14, 2017",$,5051927,116.0,Open Road Films,"Teller is appreciably committed to the character, but he's only given one note to play, his full-bodied passion wasted on a movie that would rather win on points than go for the knockout.",0.53,rotten,David Ehrlich,1,indieWire,"November 14, 2018",1248,3,2016-11-18,Nocturnal Animals,22500000,10663357,32398681,tt4550098,Nocturnal Animals,Nocturnal Animals,2016,116.0,"['Drama', 'Thriller']",7.5,205240,1.439941377777778
2,188,"From the producers of Little Miss Sunshine - When an unusual classified ad inspires three cynical Seattle magazine employees to look for the story behind it, they discover a mysterious eccentric named Kenneth, a likable but paranoid supermarket clerk, who believes he's solved the riddle of time travel and intends to depart again soon. Together, they embark on a hilarious, smart, and unexpectedly heartfelt journey that reveals how far believing can take you. -- (C) Official Site",R,Comedy|Drama,Colin Trevorrow,Derek Connolly,2012-06-08,"Oct 30, 2012",$,4007792,86.0,Film District,"This is a heartfelt and smart-tongued micro sci-fi with a tone and voice entirely its own, faltering only in its half-hearted attempts to become an ensemble piece.",0.8,fresh,Emma Dibdin,0,The Arts Desk,"May 21, 2018",2672,77,2012-06-08,Safety Not Guaranteed,750000,4010957,4422318,tt1862079,Safety Not Guaranteed,Safety Not Guaranteed,2012,86.0,"['Comedy', 'Drama', 'Romance']",7.0,111907,5.896424
3,251,"In this adaptation of the novel ""The Price of Salt"" by Patricia Highsmith, Therese (Rooney Mara), a young department-store clerk in 1950s Manhattan, meets Carol (Cate Blanchett), a beautiful older woman stuck in a depressing marriage of convenience. As their bond deepens and they become romantically involved, Carol finds the strength to leave her husband (Kyle Chandler). Unfortunately, her spouse starts to raise questions about her fitness as a mother when he realizes that Carol's relationships with her best friend Abby (Sarah Paulson) and Therese are more than just friendships. Directed by Todd Haynes.",R,Drama|Romance,Todd Haynes,Phyllis Nagy,2015-11-20,"Mar 15, 2016",$,8518148,118.0,The Weinstein Company,"The main problem is that the social tapestry is far, far less interesting than in Far from Heaven.",0.4,rotten,PJ Nabarro,0,Patrick Nabarro,"November 10, 2018",1759,60,2015-11-20,Carol,11800000,12711491,42843521,tt2402927,Carol,Carol,2015,118.0,"['Drama', 'Romance']",7.2,100680,3.63080686440678
4,300,"Liz Gilbert had everything a modern woman is supposed to dream of having -- a husband, a house, a successful career -- yet like so many others, she found herself lost, confused, and searching for what she really wanted in life. Newly divorced and at a crossroads, Gilbert steps out of her comfort zone, risking everything to change her life, embarking on a journey around the world that becomes a quest for self-discovery. In her travels, she discovers the true pleasure of nourishment by eating in Italy; the power of prayer in India, and, finally and unexpectedly, the inner peace and balance of true love in Bali.",PG-13,Drama,Ryan Murphy,Ryan Murphy|Jennifer Salt,2010-08-13,"Nov 23, 2010",$,80574010,133.0,Sony Pictures,... almost two and a half hours in which [Julia Roberts] displays her charisma... [Full review in Spanish],0.8,fresh,Laura Hiros,0,,"March 19, 2018",511,67,2010-08-13,Eat Pray Love,60000000,80574010,206598789,tt0879870,Eat Pray Love,Eat Pray Love,2010,133.0,"['Drama', 'Romance']",5.8,77709,3.44331315
5,322,"When her heart is stolen by a seductive stranger, a young woman is swept away to a house atop a mountain of blood-red clay: a place",R,Horror,Guillermo del Toro,Guillermo del Toro|Matthew Robbins|Lucinda Coxon,2015-10-16,"Feb 9, 2016",$,25957696,119.0,Universal Pictures,"Aesthetically stunning and armed with a sophisticated lining of suspense, Crimson Peak does not necessarily exude any real momentum of toxic scares or memorable chills. Still, it manages to rely on its Gothic-induced romanticism that is enough ",0.62,fresh,Frank Ochieng,0,SF Crowsnest,"November 9, 2018",584,33,2015-10-16,Crimson Peak,55000000,31090320,74966854,tt2554274,Crimson Peak,Crimson Peak,2015,119.0,"['Drama', 'Fantasy', 'Horror']",6.5,119287,1.363033709090909
6,482,"Take out the trash, eat your broccoli-who needs moms, anyway? Nine-year-old Milo (Seth Green) finds out just how much he needs his mom (Joan Cusack) when she's nabbed by Martians who plan to steal her mom-ness for their own young. Produced by the team behind Disney's A Christmas Carol and The Polar Express, Mars Needs Moms showcases Milo's quest to save his mom-a wild adventure in 3D that involves stowing away on a spaceship, navigating an elaborate, multi-level planet and taking on the alien nation and their leader (Mindy Sterling). With the help of a tech-savvy, underground earthman named Gribble (Dan Fogler) and a rebel Martian girl called Ki (Elisabeth Harnois), Milo just might find his way back to his mom-in more ways than one. Based on the Book by Berkeley Breathed. -- (C) Disney",PG,Action and Adventure|Animation|Comedy|Science Fiction and Fantasy,Simon Wells,Simon Wells|Wendy Wells,2011-03-11,"Aug 9, 2011",$,21379315,88.0,Walt Disney Pictures,"A badly animated, dispassionate and irresolute mess.",0.2,rotten,Jamie Neish,0,HeyUGuys,"August 13, 2018",157,94,2011-03-11,Mars Needs Moms,150000000,21392758,39549758,tt1305591,Mars Needs Moms,Mars Needs Moms,2011,88.0,"['Adventure', 'Animation', 'Family']",5.4,19823,0.2636650533333333
7,482,"Take out the trash, eat your broccoli-who needs moms, anyway? Nine-year-old Milo (Seth Green) finds out just how much he needs his mom (Joan Cusack) when she's nabbed by Martians who plan to steal her mom-ness for their own young. Produced by the team behind Disney's A Christmas Carol and The Polar Express, Mars Needs Moms showcases Milo's quest to save his mom-a wild adventure in 3D that involves stowing away on a spaceship, navigating an elaborate, multi-level planet and taking on the alien nation and their leader (Mindy Sterling). With the help of a tech-savvy, underground earthman named Gribble (Dan Fogler) and a rebel Martian girl called Ki (Elisabeth Harnois), Milo just might find his way back to his mom-in more ways than one. Based on the Book by Berkeley Breathed. -- (C) Disney",PG,Action and Adventure|Animation|Comedy|Science Fiction and Fantasy,Simon Wells,Simon Wells|Wendy Wells,2011-03-11,"Aug 9, 2011",$,21379315,88.0,Walt Disney Pictures,"A badly animated, dispassionate and irresolute mess.",0.2,rotten,Jamie Neish,0,HeyUGuys,"August 13, 2018",2754,51,2011-03-11,3 Backyards,300000,39475,39475,tt1314190,3 Backyards,3 Backyards,2010,88.0,['Drama'],5.0,611,0.1315833333333333
8,610,"American tourist Frank (Johnny Depp) meets a mysterious beauty who drags him into a dangerous world of intrigue and espionage while traveling through Europe in director Florian Henckel von Donnersmarck's paranoid thriller. When Frank met Elise (Angelina Jolie) on the train, he thought it was a chance encounter. Little did Frank realize it was all part of a much bigger plan, one that would soon find him dodging bullets through both the historic streets of Paris and the winding canals of Venice. Now, the faster Frank and Elise run, the more intense their romance grows.",PG-13,Action and Adventure|Mystery and Suspense|Romance,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck|Christopher McQuarrie|Julian Fellowes,2010-12-10,"Mar 22, 2011",$,67631157,103.0,Columbia Pictures,A silly inane story lacking strong characters and ay sense of adventure.,0.3,rotten,John Hanlon,0,Big Hollywood,"June 30, 2013",296,85,2010-12-10,The Tourist,100000000,67631157,278731369,tt1243957,The Tourist,The Tourist,2010,103.0,"['Action', 'Adventure', 'Thriller']",6.0,206714,2.78731369
9,674,"When 22 year-old drug dealer Chris (Hirsch) has his stash of drugs stolen from him by his mother, he has to come up with six-thousand dollars quick, or he's dead. Desperate, he goes to the trailer-park to see his father, Ansel (Hayden Church), and he lays out the plan. Chris's mother, who everyone hates, has a life insurance policy that would clear up his debt and make them all rich. The problem is that Chris' mother is very much alive. Enter Detective ""Killer"" Joe Cooper, a hired hit man with the manners of a Southern gentleman, who will do the job - for an upfront fee, that Chris and Ansel can't pay. Just as Joe is about to leave, he spots Dottie (Temple), Chris' innocent younger sister. Joe makes Chris an offer, he'll keep Dottie as sexual collateral until the money is collected and his fee can be paid. -- (C) Voltage Pictures",R,Comedy|Mystery and Suspense,William Friedkin,Tracy Letts,2012-07-27,"Dec 21, 2012",$,1800000,102.0,Independent Pictures,"Killer Joe's scenes are long and dialogue is of a high quality; by turns funny and absurd, yet also desperately sad.",0.8,fresh,John Bleasdale,0,CineVue,"October 4, 2018",580,27,2012-07-27,The Watch,55000000,34353000,67130045,tt1298649,The Watch,The Watch,2012,102.0,"['Action', 'Comedy', 'Horror']",5.7,115757,1.220546272727273
