,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,roi
0,1,2009-12-18,Avatar,425000000,760507625,2776345279,tt1775309,Avatar,Abatâ,2011,93.0,['Horror'],6.1,43,6.532577127058824
1,2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,tt1298650,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,2011,136.0,"['Action', 'Adventure', 'Fantasy']",6.6,447624,2.546672856794934
2,3,2019-06-07,Dark Phoenix,350000000,42762350,149762350,tt6565702,Dark Phoenix,Dark Phoenix,2019,113.0,"['Action', 'Adventure', 'Sci-Fi']",6.0,24451,0.42789242857142856
3,4,2015-05-01,Avengers: Age of Ultron,330600000,459005868,1403013963,tt2395427,Avengers: Age of Ultron,Avengers: Age of Ultron,2015,141.0,"['Action', 'Adventure', 'Sci-Fi']",7.3,665594,4.243841388384755
4,7,2018-04-27,Avengers: Infinity War,300000000,678815482,2048134200,tt4154756,Avengers: Infinity War,Avengers: Infinity War,2018,149.0,"['Action', 'Adventure', 'Sci-Fi']",8.5,670926,6.827114
5,9,2017-11-17,Justice League,300000000,229024295,655945209,tt0974015,Justice League,Justice League,2017,120.0,"['Action', 'Adventure', 'Fantasy']",6.5,329135,2.18648403
6,10,2015-11-06,Spectre,300000000,200074175,879620923,tt2379713,Spectre,Spectre,2015,148.0,"['Action', 'Adventure', 'Thriller']",6.8,352504,2.9320697433333334
7,11,2012-07-20,The Dark Knight Rises,275000000,448139099,1084439099,tt1345836,The Dark Knight Rises,The Dark Knight Rises,2012,164.0,"['Action', 'Thriller']",8.4,1387769,3.9434149054545453
8,12,2018-05-25,Solo: A Star Wars Story,275000000,213767512,393151347,tt3778644,Solo: A Star Wars Story,Solo: A Star Wars Story,2018,135.0,"['Action', 'Adventure', 'Fantasy']",7.0,226243,1.4296412618181817
9,13,2013-07-02,The Lone Ranger,275000000,89302115,260002115,tt1210819,The Lone Ranger,The Lone Ranger,2013,150.0,"['Action', 'Adventure', 'Western']",6.4,208827,0.9454622363636364
10,14,2012-03-09,John Carter,275000000,73058679,282778100,tt0401729,John Carter,John Carter,2012,132.0,"['Action', 'Adventure', 'Sci-Fi']",6.6,241792,1.028284
11,15,2010-11-24,Tangled,260000000,200821936,586477240,tt0398286,Tangled,Tangled,2010,100.0,"['Adventure', 'Animation', 'Comedy']",7.8,366366,2.255681692307692
12,17,2016-05-06,Captain America: Civil War,250000000,408084349,1140069413,tt3498820,Captain America: Civil War,Captain America: Civil War,2016,147.0,"['Action', 'Adventure', 'Sci-Fi']",7.8,583507,4.560277652
13,18,2016-03-25,Batman v Superman: Dawn of Justice,250000000,330360194,867500281,tt2975590,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2016,151.0,"['Action', 'Adventure', 'Fantasy']",6.5,576909,3.470001124
14,19,2012-12-14,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568,tt0903624,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,2012,169.0,"['Adventure', 'Family', 'Fantasy']",7.9,719629,4.068014272
15,21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000,258366855,960366855,tt1170358,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,2013,161.0,"['Adventure', 'Fantasy']",7.8,565563,3.84146742
16,22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000,255119788,945577621,tt2310332,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,2014,144.0,"['Adventure', 'Fantasy']",7.4,438621,3.782310484
17,23,2017-04-14,The Fate of the Furious,250000000,225764765,1234846267,tt4630562,The Fate of the Furious,The Fate of the Furious,2017,136.0,"['Action', 'Crime', 'Thriller']",6.7,179774,4.939385068
18,25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,788241137,tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,2017,129.0,"['Action', 'Adventure', 'Fantasy']",6.6,228592,3.4271353782608696
